 0.03	 0.99
 2.12	-0.05
 0.88	-0.08
-0.06	-0.04
 0.83	-0.54
 2.11	 0.66
 0.57	 0.34
 0.95	-0.75
-0.03	 0.39
 1.72	 0.36
-0.28	 0.61
 2.00	-0.31
 1.50	-0.75
 1.23	 1.20
 0.47	 0.55
-0.37	 1.12
 0.30	 1.23
 0.30	 0.82
-0.24	 0.78
 1.16	 0.55
-0.60	 0.66
 0.46	-0.20
 0.68	 0.75
 0.71	-0.46
-0.66	-0.13
-0.75	-0.38
 0.61	 0.31
 2.18	-0.02
 1.92	 0.17
 1.48	-0.11
 0.47	-0.15
 1.06	-1.04
 1.87	-0.01
 0.42	-0.32
 0.07	 0.57
-0.17	 1.00
 0.12	 1.00
 0.18	 0.25
-0.25	 0.19
 1.03	-0.63
 1.52	-0.05
 0.64	-0.39
-0.88	 0.05
-1.07	 0.14
 1.03	 0.38
 0.93	 1.39
 0.68	 1.57
-0.37	 0.73
-1.02	 0.16
 0.77	 0.15
 1.40	-0.01
-0.38	-0.23
 0.72	 0.45
-0.51	 0.68
 0.32	 0.29
 0.20	 0.16
 0.53	 0.98
-0.22	 0.25
 0.22	 1.32
-0.11	 0.56
 0.64	 0.75
-0.37	 0.99
 0.21	-0.10
 0.13	-0.38
 0.71	-0.80
 1.09	-0.37
-0.15	 0.96
 1.59	-0.63
 0.74	 0.58
 2.18	-0.70
 0.25	 0.85
-0.95	 0.90
-0.88	 0.07
 2.02	 0.12
 2.15	 0.46
 0.36	-0.68
 0.35	 1.12
 1.74	 0.46
 0.64	-0.45
 1.29	-0.49
-0.14	 1.25
-0.56	 1.05
 1.29	-0.21
-0.88	 0.51
-0.93	-0.46
 0.02	 0.11
 0.20	-0.07
 0.73	 0.28
 1.68	-0.20
 0.51	-0.12
 1.67	-0.42
-0.82	 0.63
 0.30	 0.79
 1.38	-0.81
 1.17	 0.60
 1.70	 0.59
 0.22	-0.65
 0.95	-0.42
-1.32	 0.42
-1.30	 0.18
